latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.3026,22.60181,345.7,0.44,0.38,2019-01-01,1109,N,VIIRS,n,2,289.55,16.26,D,0
41.36188,21.46319,345.06,0.48,0.4,2019-01-01,1109,N,VIIRS,n,2,282.36,6.93,D,0
41.44275,21.9421,330.87,0.46,0.39,2019-01-01,1109,N,VIIRS,n,2,284.4,3.17,D,2
41.76798,21.95742,325.87,0.45,0.39,2019-01-01,1110,N,VIIRS,n,2,283.61,3.52,D,0
41.85327,21.94371,325.23,0.45,0.39,2019-01-01,1110,N,VIIRS,n,2,284.01,9.06,D,0
41.89303,22.05531,328.91,0.45,0.39,2019-01-01,1110,N,VIIRS,n,2,283.52,2.88,D,0
42.03736,21.11083,325.18,0.48,0.4,2019-01-01,1110,N,VIIRS,n,2,279.67,2.88,D,0
41.41877,21.93694,304.18,0.53,0.67,2019-01-01,2327,N,VIIRS,n,2,269.39,1.04,N,2
41.42092,21.93429,312.38,0.53,0.67,2019-01-01,2327,N,VIIRS,n,2,269.54,1.64,N,2
41.44408,21.93682,320.03,0.53,0.67,2019-01-01,2327,N,VIIRS,n,2,269.11,1.96,N,2
41.44621,21.93487,301.64,0.53,0.67,2019-01-01,2327,N,VIIRS,n,2,268.13,1.21,N,0
41.44353,21.94025,322.35,0.56,0.52,2019-01-02,108,N,VIIRS,n,2,271.37,5.5,N,2
41.1059,22.95384,331.92,0.45,0.47,2019-01-02,1051,N,VIIRS,n,2,280.6,5.94,D,0
41.12574,22.50961,338.26,0.47,0.47,2019-01-02,1051,N,VIIRS,n,2,284.07,8.88,D,0
41.12641,22.51207,340.71,0.47,0.47,2019-01-02,1051,N,VIIRS,n,2,283.72,7.58,D,0
41.26726,22.94333,325.56,0.44,0.46,2019-01-02,1051,N,VIIRS,n,2,281.77,4.86,D,0
41.31058,22.48571,336.46,0.46,0.47,2019-01-02,1051,N,VIIRS,n,2,281.37,4.21,D,0
41.44499,21.94153,327.14,0.57,0.69,2019-01-06,133,N,VIIRS,n,2,266.47,4.2,N,2
41.44424,21.93679,336.95,0.41,0.45,2019-01-07,1057,N,VIIRS,n,2,270.2,8.68,D,2
41.44551,21.93607,326.7,0.77,0.77,2019-01-07,2314,N,VIIRS,n,2,262.23,4.59,N,2
41.44511,21.94073,328.44,0.77,0.77,2019-01-07,2315,N,VIIRS,n,2,262.46,6.24,N,2
41.44333,21.93886,346.66,0.43,0.62,2019-01-08,1219,N,VIIRS,n,2,278.78,5.16,D,2
41.4435,21.94035,338.03,0.43,0.62,2019-01-08,1219,N,VIIRS,n,2,278.38,4.27,D,2
41.44347,21.93887,332.76,0.58,0.52,2019-01-13,1044,N,VIIRS,n,2,273.43,6.07,D,2
41.43676,21.94446,295.35,0.45,0.39,2019-01-14,43,N,VIIRS,n,2,266.86,1.68,N,2
41.44125,21.94039,321.44,0.45,0.39,2019-01-14,43,N,VIIRS,n,2,267.59,1.68,N,2
41.44475,21.94154,330.01,0.45,0.39,2019-01-14,43,N,VIIRS,n,2,270.86,4.79,N,2
41.43974,21.94431,303.61,0.39,0.36,2019-01-15,24,N,VIIRS,n,2,273.77,1.47,N,2
41.44373,21.94056,345.08,0.39,0.36,2019-01-15,24,N,VIIRS,n,2,276.48,6.22,N,2
41.44485,21.9379,326.39,0.6,0.53,2019-01-16,2346,N,VIIRS,n,2,269.12,6.1,N,2
41.44515,21.93616,323.96,0.6,0.53,2019-01-16,2346,N,VIIRS,n,2,268.73,3.15,N,2
41.43923,21.94124,307.74,0.48,0.64,2019-01-17,126,N,VIIRS,n,2,268.24,3.52,N,2
41.44493,21.94392,350.88,0.48,0.64,2019-01-17,126,N,VIIRS,n,2,269.97,4.71,N,2
41.4465,21.9387,317.64,0.48,0.64,2019-01-17,126,N,VIIRS,n,2,267.56,4.71,N,2
