temperature,humidity,wind_speed,fire_weather_index,soil_moisture,vegetation_type,fire_occurred
5.7,44,12.1,16.3,0.325,0,1
4.8,47,14.2,15.1,0.299,1,1
3.2,57,12.1,8.3,0.317,1,1
5.2,52,21.6,15.8,0.268,1,1
6.4,39,16.6,21.0,0.274,1,1
3.5,56,9.7,8.0,0.311,2,1
4.4,47,8.0,12.3,0.317,1,1
6.2,43,13.6,17.7,0.3,0,1
7.1,47,18.3,18.1,0.285,0,1
3.9,49,7.0,10.6,0.314,0,1
5.2,52,20.1,15.2,0.307,1,1
-0.4,65,13.3,2.6,0.312,1,1
-3.9,62,14.8,2.6,0.31,1,1
-3.7,49,7.4,6.2,0.307,1,1
1.0,55,6.1,5.5,0.297,1,1
2.0,56,8.7,6.7,0.298,1,1
-1.6,53,16.2,9.0,0.299,1,1
4.9,43,8.2,14.7,0.299,1,1
6.2,43,6.3,14.7,0.31,1,1
6.4,56,7.8,9.0,0.322,1,1
6.1,75,5.9,0.0,0.344,1,1
7.7,78,24.8,5.5,0.349,0,1
4.3,87,5.4,0.0,0.366,1,1
6.9,61,7.1,6.5,0.367,1,1
9.8,59,8.4,9.7,0.374,1,1
14.2,48,8.3,17.8,0.383,2,1
8.6,70,9.2,3.8,0.356,1,1
16.1,47,9.9,20.1,0.372,0,1
11.2,62,10.5,9.9,0.345,1,1
10.3,40,14.7,22.1,0.39,0,1
7.2,68,13.7,5.8,0.355,1,1
8.5,60,16.4,11.7,0.389,1,1
5.4,60,8.2,6.5,0.378,1,1
5.8,68,9.6,3.3,0.358,1,1
7.3,45,16.4,18.4,0.313,1,1
7.7,41,7.4,17.1,0.334,1,1
6.8,50,5.4,11.2,0.371,0,1
5.8,57,7.4,7.9,0.349,1,1
6.2,45,11.8,15.9,0.323,1,1
7.4,44,16.9,19.2,0.305,1,1
10.1,50,6.3,13.6,0.341,1,1
10.5,47,12.0,17.6,0.345,1,1
9.2,45,8.4,16.4,0.314,1,1
10.7,50,9.9,15.4,0.325,1,1
9.9,45,7.6,16.5,0.306,1,1
10.1,42,6.1,17.5,0.322,1,1
12.9,41,12.9,22.4,0.336,1,1
8.8,59,22.9,14.9,0.369,2,1
11.4,54,22.6,18.9,0.3,1,1
7.9,48,29.1,22.4,0.371,1,1
6.2,43,28.1,23.5,0.313,1,1
0.9,50,20.2,13.6,0.335,1,1
2.3,39,12.7,17.0,0.373,0,1
-1.8,47,23.8,14.9,0.363,2,1
2.9,46,11.3,13.3,0.355,2,1
0.2,41,18.8,17.1,0.357,2,1
2.5,57,16.6,9.6,0.328,1,1
0.9,35,11.9,17.8,0.374,1,1
3.8,56,29.1,15.9,0.305,1,1
1.6,55,19.6,11.3,0.349,2,1
6.8,48,9.7,14.0,0.315,1,1
8.7,42,12.9,19.4,0.29,1,1
4.6,48,11.6,13.4,0.344,2,1
6.0,48,7.9,12.8,0.353,0,1
6.8,45,12.1,16.4,0.298,1,1
6.4,49,10.8,13.7,0.331,2,1
9.3,45,7.4,16.0,0.352,0,1
7.7,47,14.3,16.8,0.353,0,1
9.8,39,12.6,21.4,0.286,1,1
9.2,41,19.8,22.9,0.287,1,1
9.3,50,10.6,14.8,0.287,1,1
9.1,38,15.9,22.8,0.286,1,1
9.7,27,10.2,26.4,0.265,1,1
5.7,49,11.9,13.7,0.347,1,1
9.7,40,22.3,24.7,0.287,1,1
9.6,42,13.2,20.0,0.365,2,1
9.4,35,6.1,20.6,0.312,1,1
11.2,35,9.9,23.2,0.279,1,1
7.4,34,7.1,20.3,0.359,1,1
12.7,42,11.7,21.3,0.316,0,1
10.6,28,6.9,25.1,0.292,1,1
8.2,29,6.7,23.1,0.348,0,1
11.1,26,8.9,27.2,0.3,1,1
7.6,46,7.6,14.6,0.327,2,1
11.1,26,6.4,26.2,0.297,1,1
9.5,35,11.0,22.6,0.348,0,1
11.0,28,8.3,25.9,0.339,2,1
10.3,38,5.9,19.5,0.349,0,1
8.2,31,6.3,21.9,0.322,2,1
9.9,41,13.5,20.8,0.311,1,1
8.3,42,8.1,17.2,0.358,0,1
10.6,38,8.9,20.9,0.279,1,1
11.0,41,7.9,19.3,0.281,1,1
11.9,36,16.2,25.6,0.277,1,1
9.1,39,10.9,20.3,0.341,1,1
12.9,31,10.1,26.3,0.292,1,1
13.6,32,16.9,28.9,0.278,1,1
10.5,28,9.8,26.2,0.331,1,1
9.9,41,9.4,19.2,0.343,2,1
11.1,37,5.8,20.5,0.31,1,1
15.6,27,5.4,28.0,0.329,0,1
15.1,29,6.5,27.2,0.323,1,1
11.1,36,5.9,21.0,0.336,2,1
13.7,32,5.2,24.3,0.347,0,1
12.2,31,10.7,26.1,0.347,0,1
12.5,30,5.2,24.6,0.279,1,1
10.2,43,8.7,18.1,0.35,0,1
13.3,33,11.9,26.2,0.27,1,1
12.9,38,9.1,22.4,0.278,1,1
12.6,28,9.4,27.3,0.28,1,1
13.0,34,7.1,23.6,0.254,1,1
10.9,41,9.7,19.9,0.336,1,1
12.5,33,5.1,23.0,0.317,2,1
13.0,32,7.0,24.6,0.29,1,1
12.9,29,5.7,25.5,0.353,2,1
12.8,28,7.9,26.8,0.326,1,1
12.6,37,5.3,21.2,0.31,1,1
10.9,46,5.8,15.9,0.331,1,1
15.8,32,8.7,27.0,0.329,0,1
14.9,30,7.3,26.9,0.322,1,1
13.3,34,8.1,24.2,0.303,1,1
15.3,30,9.8,28.1,0.339,0,1
14.0,38,6.9,22.2,0.289,1,1
13.1,29,7.2,26.2,0.236,1,1
10.0,41,9.2,19.2,0.351,0,1
6.5,36,6.5,18.5,0.371,1,1
15.3,33,7.6,25.7,0.276,1,1
11.9,37,4.5,20.4,0.335,2,1
13.1,34,7.8,24.0,0.446,2,1
11.0,38,7.6,20.6,0.326,1,1
14.7,41,7.9,21.5,0.265,1,1
10.1,34,8.7,22.5,0.311,2,1
14.0,33,5.1,23.9,0.346,0,1
13.8,40,5.4,20.4,0.379,2,1
14.8,31,7.5,26.4,0.274,1,1
14.7,29,10.9,28.7,0.351,2,1
12.0,38,8.6,21.6,0.311,1,1
10.4,40,11.6,20.9,0.326,1,1
17.1,32,12.0,29.1,0.309,0,1
14.0,41,17.7,25.0,0.323,1,1
9.6,32,8.7,23.2,0.301,2,1
10.1,37,17.6,24.6,0.347,0,1
13.7,31,20.8,31.0,0.277,1,1
13.7,37,12.3,24.6,0.257,1,1
16.3,32,20.4,31.9,0.312,0,1
12.1,27,9.9,27.7,0.341,0,1
13.3,34,8.8,24.5,0.287,1,1
13.6,42,10.1,21.2,0.283,1,1
13.4,37,8.9,23.1,0.343,0,1
12.6,36,14.3,25.3,0.347,0,1
14.4,35,10.5,25.3,0.274,1,1
12.6,37,6.3,21.6,0.379,2,1
15.6,34,16.3,28.9,0.273,1,1
11.3,41,8.9,19.8,0.329,1,1
14.4,33,12.2,27.0,0.28,1,1
15.1,32,12.0,27.9,0.284,1,1
13.1,35,6.0,22.8,0.306,2,1
15.6,26,17.3,33.3,0.271,1,1
6.2,45,12.6,16.3,0.389,1,1
10.0,43,10.5,18.7,0.311,1,1
8.8,42,13.9,19.8,0.319,1,1
11.9,33,8.8,24.2,0.337,0,1
10.3,44,17.3,21.1,0.342,0,1
13.4,34,16.8,27.8,0.252,1,1
10.9,36,20.1,26.6,0.278,1,1
13.2,35,11.9,25.2,0.268,1,1
12.9,34,14.7,26.6,0.277,1,1
10.1,55,10.2,12.6,0.31,2,1
12.5,35,10.5,24.2,0.273,1,1
6.9,42,8.6,16.6,0.291,2,1
10.1,42,16.0,21.5,0.328,1,1
