lat,lon,date,temperature,humidity,wind_speed,soil_moisture
41.375,22.625,2019-01-01,5.7,44,12.1,0.325
41.375,21.375,2019-01-01,4.8,47,14.2,0.299
41.375,21.875,2019-01-01,3.2,57,12.1,0.317
41.875,21.875,2019-01-01,5.2,52,21.6,0.268
41.875,22.125,2019-01-01,6.4,39,16.6,0.274
42.125,21.125,2019-01-01,3.5,56,9.7,0.311
41.375,21.875,2019-01-02,4.4,47,8.0,0.317
41.125,22.875,2019-01-02,6.2,43,13.6,0.3
41.125,22.625,2019-01-02,7.1,47,18.3,0.285
41.375,22.875,2019-01-02,3.9,49,7.0,0.314
41.375,22.375,2019-01-02,5.2,52,20.1,0.307
41.375,21.875,2019-01-06,-0.4,65,13.3,0.312
41.375,21.875,2019-01-07,-3.9,62,14.8,0.31
41.375,21.875,2019-01-08,-3.7,49,7.4,0.307
41.375,21.875,2019-01-13,1.0,55,6.1,0.297
41.375,21.875,2019-01-14,2.0,56,8.7,0.298
41.375,21.875,2019-01-15,-1.6,53,16.2,0.299
41.375,21.875,2019-01-16,4.9,43,8.2,0.299
41.375,21.875,2019-01-17,6.2,43,6.3,0.31
41.375,21.875,2019-01-18,6.4,56,7.8,0.322
41.375,21.875,2019-01-22,6.1,75,5.9,0.344
41.125,22.875,2019-01-22,7.7,78,24.8,0.349
41.375,21.875,2019-01-23,4.3,87,5.4,0.366
41.375,21.875,2019-01-28,6.9,61,7.1,0.367
41.375,21.875,2019-02-01,9.8,59,8.4,0.374
42.375,20.875,2019-02-03,14.2,48,8.3,0.383
41.375,21.875,2019-02-05,8.6,70,9.2,0.356
41.125,22.875,2019-02-05,16.1,47,9.9,0.372
41.625,22.125,2019-02-05,11.2,62,10.5,0.345
41.625,22.875,2019-02-05,10.3,40,14.7,0.39
42.375,21.625,2019-02-05,7.2,68,13.7,0.355
41.375,22.375,2019-02-07,8.5,60,16.4,0.389
41.375,21.875,2019-02-07,5.4,60,8.2,0.378
41.375,21.875,2019-02-08,5.8,68,9.6,0.358
41.875,21.875,2019-02-09,7.3,45,16.4,0.313
